strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
PB_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,PB_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.6893733601720373,0.3339727102039718,0.35540064996806553,-0.5025124752451922,0.5710407239819004,5.95,16.388316151202748
REVENUE_qb0of3__PS_qb0of3__C11_EPS_DYN_qmax8__v0,REVENUE_qb0of3__PS_qb0of3,C11_EPS_DYN_qmax8,0.6211675256543903,0.4926633903879303,0.12850413526645998,-0.3934897971526016,0.6100164203612479,6.71,16.579310344827586
REVENUE_qb0of3__PS_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,REVENUE_qb0of3__PS_qb0of3,C14_EPS_DYN_ytdavg_gt_lyavg,0.618405499827837,0.4926633903879303,0.1257421094399067,-0.46103742527710123,0.6011808910359635,7.25,48.63
REVENUE_qb0of3__PS_qb0of3__C10_EPS_DYN_qmax4__v0,REVENUE_qb0of3__PS_qb0of3,C10_EPS_DYN_qmax4,0.6165711627859689,0.4926633903879303,0.12390777239803863,-0.5829258399871782,0.5910165484633569,7.57,28.868852459016395
REVENUE_qb0of3__PS_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__PS_qb0of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.616105779559881,0.4926633903879303,0.12344238917195072,-0.46081364273611225,0.599023331524688,7.37,48.33
REVENUE_qb0of3__PS_qb0of3__C9_EPS_DYN_riseq2__v0,REVENUE_qb0of3__PS_qb0of3,C9_EPS_DYN_riseq2,0.6052716719706737,0.4926633903879303,0.11260828158274339,-0.5580540972850574,0.5820950965824666,8.15,49.16558441558441
REVENUE_qb0of3__PS_qb0of3__C12_EPS_DYN_yoy__v0,REVENUE_qb0of3__PS_qb0of3,C12_EPS_DYN_yoy,0.6017580164451513,0.4926633903879303,0.10909462605722098,-0.4937148581388908,0.580168776371308,7.18,48.83
EPS_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,EPS_qb0of3__ACCRUAL_qb0of3,C11_EPS_DYN_qmax8,0.5844563593310932,0.3282891840419029,0.2561671752891903,-0.49401151336034854,0.5378201310303752,8.55,22.61512027491409
REVENUE_qb0of3__PS_qb0of3__C2_ROE_DYN_riseq2__v0,REVENUE_qb0of3__PS_qb0of3,C2_ROE_DYN_riseq2,0.5803628596652044,0.4926633903879303,0.08769946927727412,-0.5360649475110364,0.5802281368821293,8.28,46.146103896103895
REVENUE_qb0of3__PS_qb0of3__C16_FCF_P_DYN_riseq2__v0,REVENUE_qb0of3__PS_qb0of3,C16_FCF_P_DYN_riseq2,0.5798148377341672,0.4926633903879303,0.08715144734623692,-0.49229770181455834,0.5736111111111111,8.33,46.66883116883117
EV_S_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,EV_S_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.5791304355371512,0.3425832129917248,0.23654722254542637,-0.5861167798871405,0.5802615933412604,4.2,11.754325259515571
EPS_qb0of3__OCF_E_qb2of3__C12_EPS_DYN_yoy__v0,EPS_qb0of3__OCF_E_qb2of3,C12_EPS_DYN_yoy,0.5784478266855329,0.404083883459498,0.17436394322603488,-0.477551694706005,0.5318779459191267,8.89,51.38333333333333
REVENUE_qb0of3__PS_qb0of3__C8_EPS_DYN_riseq1__v0,REVENUE_qb0of3__PS_qb0of3,C8_EPS_DYN_riseq1,0.5781985987088449,0.4926633903879303,0.08553520832091466,-0.4860818678061064,0.5737951807228916,7.4,48.60322580645161
REVENUE_qb0of3__PS_qb0of3__C5_ROE_DYN_yoy__v0,REVENUE_qb0of3__PS_qb0of3,C5_ROE_DYN_yoy,0.5605152304979995,0.4926633903879303,0.06785184011006917,-0.4813808998743263,0.5738861932068814,8.0,43.96333333333333
EPS_qb0of3__OCF_E_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,EPS_qb0of3__OCF_E_qb2of3,C13_EPS_DYN_ytdavg_gt_lyytdavg,0.552878429164477,0.404083883459498,0.14879454570497908,-0.4859871580942333,0.5482947770093012,9.33,56.696666666666665
REVENUE_qb0of3__OCF_E_qb2of3__C5_ROE_DYN_yoy__v0,REVENUE_qb0of3__OCF_E_qb2of3,C5_ROE_DYN_yoy,0.5497748249787309,0.43006434076627365,0.11971048421245722,-0.47616360398026536,0.5451814189969956,9.56,59.843333333333334
REVENUE_qb0of3__PS_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,REVENUE_qb0of3__PS_qb0of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.5413115356006115,0.4926633903879303,0.04864814521268124,-0.47043300815029776,0.6001181334908446,8.8,42.42809364548495
REVENUE_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,REVENUE_qb0of3__ACCRUAL_qb0of3,C11_EPS_DYN_qmax8,0.5408976020917511,0.37528684649749056,0.16561075559426053,-0.4550104455613473,0.5369791666666667,8.61,24.63448275862069
PS_qb0of3__EPS_qb0of3__C11_EPS_DYN_qmax8__v0,PS_qb0of3__EPS_qb0of3,C11_EPS_DYN_qmax8,0.5406660257267866,0.33742583163878637,0.2032401940880002,-0.5723670714090205,0.5957446808510638,5.69,10.609756097560975
EPS_qb0of3__OCF_E_qb2of3__C5_ROE_DYN_yoy__v0,EPS_qb0of3__OCF_E_qb2of3,C5_ROE_DYN_yoy,0.5391299386364516,0.404083883459498,0.13504605517695367,-0.5492732025884608,0.5299620733249052,8.58,50.76
EPS_qb0of3__CROIC_qb2of3__C18_FCF_P_DYN_qmax8__v0,EPS_qb0of3__CROIC_qb2of3,C18_FCF_P_DYN_qmax8,0.5385130419162507,0.365422915691191,0.1730901262250597,-0.5545616863940115,0.5517541316323572,11.1,36.3013698630137
ACCRUAL_qb0of3__ROIC_qb0of3__C11_EPS_DYN_qmax8__v0,ACCRUAL_qb0of3__ROIC_qb0of3,C11_EPS_DYN_qmax8,0.536264396562043,0.3127648550152977,0.22349954154674534,-0.6133269327707234,0.504950495049505,9.23,17.034364261168385
P_IC_qb0of3__EPS_qb0of3__C10_EPS_DYN_qmax4__v0,P_IC_qb0of3__EPS_qb0of3,C10_EPS_DYN_qmax4,0.5360127153777947,0.3089741476049459,0.2270385677728488,-0.7185777224464955,0.565166569257744,6.36,22.86513157894737
EPS_qb0of3__OCF_E_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,EPS_qb0of3__OCF_E_qb2of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.5335106675807104,0.404083883459498,0.12942678412121245,-0.5104262120187348,0.5403348554033486,9.38,53.46
EPS_qb0of3__ROE_qb2of3__C11_EPS_DYN_qmax8__v0,EPS_qb0of3__ROE_qb2of3,C11_EPS_DYN_qmax8,0.5314573248029124,0.4057823182103599,0.12567500659255249,-0.6441195622612406,0.5664670658682635,6.93,12.31958762886598
REVENUE_qb0of3__OCF_E_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__OCF_E_qb2of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.529504053470303,0.43006434076627365,0.0994397127040294,-0.456469042757808,0.5474288567149276,10.24,59.64
PB_qb0of3__EPS_qb0of3__C10_EPS_DYN_qmax4__v0,PB_qb0of3__EPS_qb0of3,C10_EPS_DYN_qmax4,0.5287702737834659,0.3339727102039718,0.19479756357949407,-0.5258332644694323,0.5478260869565217,6.83,35.96052631578947
EPS_qb0of3__OCF_E_qb2of3__C18_FCF_P_DYN_qmax8__v0,EPS_qb0of3__OCF_E_qb2of3,C18_FCF_P_DYN_qmax8,0.5281166562361166,0.404083883459498,0.12403277277661862,-0.5387811955275765,0.5426460711887172,10.99,31.84536082474227
P_IC_qb0of3__ROIC_qb0of3__C11_EPS_DYN_qmax8__v0,P_IC_qb0of3__ROIC_qb0of3,C11_EPS_DYN_qmax8,0.527884468949517,0.2552504913565341,0.2726339775929829,-0.5198200513180757,0.6087212728344137,4.44,27.069204152249135
REVENUE_qb0of3__PS_qb0of3__C17_FCF_P_DYN_qmax4__v0,REVENUE_qb0of3__PS_qb0of3,C17_FCF_P_DYN_qmax4,0.5267633267607696,0.4926633903879303,0.03409993637283937,-0.4610937410776281,0.5706756109247724,8.95,24.673267326732674
REVENUE_qb0of3__PS_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,REVENUE_qb0of3__PS_qb0of3,C6_ROE_DYN_ytdavg_gt_lyytdavg,0.5231955897087919,0.4926633903879303,0.030532199320861597,-0.477324819411828,0.5905325443786982,8.94,42.27333333333333
REVENUE_qb0of3__EV_S_qb0of3__C11_EPS_DYN_qmax8__v0,REVENUE_qb0of3__EV_S_qb0of3,C11_EPS_DYN_qmax8,0.5224541085090149,0.4025223578951269,0.11993175061388794,-0.394072509346031,0.6005040957781979,7.54,22.625429553264606
REVENUE_qb0of3__OCF_E_qb2of3__C12_EPS_DYN_yoy__v0,REVENUE_qb0of3__OCF_E_qb2of3,C12_EPS_DYN_yoy,0.5213658674752422,0.43006434076627365,0.09130152670896852,-0.39507686777608975,0.5473129610115911,9.87,65.68333333333334
