,0
candidate,PS
label,TW_batch_PS_M
n_strategies,7078
nan_rate_CAGR,0.0
nan_rate_daily_sharpe,0.0
n_suspicious_flagged,3
CAGR_median,0.08842644099745478
CAGR_mean,0.08137847271062948
pct_CAGR_positive,0.8790618818875389
pct_CAGR_negative,0.12093811811246115
pct_CAGR_beat_bench,0.6474992935857586
verdict,偏賺（多數策略CAGR為正）
champion_CAGR,0.3392709352681387
champion_strategy,EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0
champion_strategy_daily_sharpe,16.48
highest_daily_sharpe_value,2431.05
highest_daily_sharpe_strategy,FCF_P_qb0of5__PS_qb2of5__C18_FCF_P_DYN_qmax8__v0
highest_daily_sharpe_strategy_CAGR,-0.004315950407837166
highest_daily_sharpe_strategy_win_ratio,0.0
candidate_factor_group_median_CAGR,0.1106378908194473
candidate_factor_group_n,210
better_than_none_C,"C9,C7,C11,C2,C8,C10,C1,C14,C3,C4,C12,C6,C5,C13"
worse_or_equal_C,"None,C20,C19,C15,C16,C17,C18"
